supplier_id,supplier_code,supplier_name,supplier_type,gst_number,pan_number,email,phone_number,contact_person,address_line_1,address_line_2,city,state,country,postal_code,payment_terms_id,bank_name,bank_account_number,ifsc_code,supplier_status,created_date,modified_date
11,SUP00011,"Dugar, Dua and Kant",Contractor,19NGOHF5354N3ZQ,FEOYE9184T,ganesanjack@ravel.com,3801339913,Rachana Venkatesh,"45, Sahni Path",Floor 9,New Delhi,Delhi,India,970697,2,IndusInd Bank,85091075766,INDU0832476,Active,2019-10-30,2024-04-10
12,SUP00012,Barad Ltd,Goods Supplier,19ZKXRG7632X3ZD,RGYNN2188D,kurianurmi@lala.com,05746401491,Ekta Devi,"H.No. 46, Madan Zila",Suite 22,Ahmedabad,Gujarat,India,305681,6,Yes Bank,00685193379,YES 0253122,Active,2018-02-26,2024-09-22
13,SUP00013,"Solanki, Kamdar and Patla",Contractor,22DRQVC9098K8ZZ,UMCSK7952L,chakradhartalwar@modi.com,+916832033250,Shravya Kothari,"63/49
Pillay Street",Floor 16,Kolkata,West Bengal,India,255241,2,State Bank of India,3687884607724274,STAT0918867,Blocked,2020-07-11,2025-05-26
14,SUP00014,Korpal Ltd,Raw Material Supplier,19THLZC2699P5Z1,IFGUD5926Q,falak86@rana.org,04393103637,Ojas Sani,"42/860
Agrawal Street",Unit 52,Kolkata,West Bengal,India,271701,2,Axis Bank,069791728062,AXIS0450131,Active,2019-07-06,2026-03-19
15,SUP00015,"Narang, Choudhry and Goda",Goods Supplier,18WTATW9740P4ZB,AXAMY3947C,sanaya46@dalia-mallick.com,+916475452855,Naveen Chand,"050
Pal Street",,New Delhi,Delhi,India,800025,5,Yes Bank,37151028357926,YES 0919793,Active,2019-02-26,2025-01-12
16,SUP00016,"Kata, Dave and Naidu",Raw Material Supplier,05MQWGR2146U6ZK,AAZYB1819S,rushilchatterjee@morar.com,03664034534,Ranbir Chacko,"22
Sarma",Suite 15,Hyderabad,Telangana,India,671872,4,IndusInd Bank,83813492328183,INDU0676610,Active,2021-04-30,2025-09-22
17,SUP00017,"Dara, Andra and Balasubramanian",Equipment Vendor,37VFPIO7004P6Z3,WEZLR2595K,lohit01@chana-reddy.com,6774294341,Nathaniel Roy,"45/68
Pillay Zila",Unit 72,Ahmedabad,Gujarat,India,133757,6,Kotak Mahindra Bank,41823813464983,KOTA0960335,Active,2023-02-17,2025-12-31
18,SUP00018,Varma-Khurana,Equipment Vendor,06JBXUT8594K1ZM,JOVNU3676A,xmammen@murty.org,7863432882,Qasim Lanka,"98
Kothari Road",Floor 1,Chennai,Tamil Nadu,India,191491,8,IndusInd Bank,78670264961,INDU0313489,Active,2025-08-23,2025-08-31
19,SUP00019,Yogi and Sons,Equipment Vendor,03DRXFU8956L2ZM,IQQZU0133W,uppalyashawini@khalsa.biz,09263046634,Vyanjana Mandal,"H.No. 545, Wagle Path",Unit 99,Ludhiana,Punjab,India,804232,7,IndusInd Bank,90203468275369,INDU0729255,Inactive,2020-07-23,2024-01-21
20,SUP00020,Natt Ltd,Contractor,07WJWDO4876Z4ZW,DKDBD1468Q,onveergera@vyas-chad.com,+917992266470,Madhav Grewal,"72/665
Jayaraman Zila",Suite 8,New Delhi,Delhi,India,115016,3,Kotak Mahindra Bank,93423280354,KOTA0440139,Active,2024-07-16,2025-05-02
21,SUP00021,"Nazareth, Rattan and Sood",Service Provider,28PAWUG3341U3ZF,YLJLX9831G,frado60@krishna.net,01517667749,Nisha Kohli,"94/374, Sandhu Road",Suite 13,Mysuru,Karnataka,India,665355,1,State Bank of India,99753559839707,STAT0757908,Blocked,2020-11-17,2025-12-28
22,SUP00022,Mandal-Sehgal,Service Provider,33NMZLD2981J5ZL,OWMAO8484L,chanaanusha@dalal.info,06563841228,Sai Prabhu,"88/67
Varty Zila",Suite 11,Coimbatore,Tamil Nadu,India,196736,9,HDFC Bank,1353081692235912,HDFC0666143,Active,2025-04-19,2026-03-26
23,SUP00023,Kari LLC,Equipment Vendor,27MCNCI0542H1ZE,GAVBM7699M,anirudhganguly@jain.org,09391641940,Vedhika Rajagopal,"H.No. 05
Magar Chowk",Suite 27,Kolkata,West Bengal,India,082078,3,Punjab National Bank,55502320747,PUNJ0511002,Active,2016-04-22,2025-11-30
24,SUP00024,"Ram, Murty and Shetty",Service Provider,10OLQGO9199O1ZF,PBLHE9279X,madanchandresh@nadkarni-mohanty.com,0292904826,Aryan Butala,"18
Rai Path",Unit 39,New Delhi,Delhi,India,741753,4,Yes Bank,908286428895,YES 0946308,Inactive,2024-12-12,2025-11-23
25,SUP00025,"Nayar, Kalla and Acharya",Equipment Vendor,36MBXDP5834Q8ZH,COKXQ4385F,vansharana@gala.com,04122402937,Samaksh Pau,"H.No. 02
Pall Street",,Surat,Gujarat,India,644565,7,Punjab National Bank,063458101509,PUNJ0516803,Inactive,2023-02-03,2025-01-07
26,SUP00026,Goswami LLC,Goods Supplier,12BEQJD8680O2Z9,BKYBD6740R,lokeyatan@kuruvilla.org,05280909072,Pallavi Setty,"66/32, Varughese Circle",,Hyderabad,Telangana,India,571886,8,Axis Bank,148237515989,AXIS0124724,Inactive,2025-05-03,2025-06-04
27,SUP00027,Lanka-Sandhu,Raw Material Supplier,30OWLTE4741L8Z3,IVDRY6499D,maneandrew@koshy-mody.info,2155757265,Tristan Vala,"39/79, Puri Zila",Floor 9,Jaipur,Rajasthan,India,152794,3,HDFC Bank,68773071837,HDFC0289754,Under Review,2020-11-25,2022-09-14
28,SUP00028,"Solanki, Rajagopalan and Murty",Equipment Vendor,24BPARD5369N7Z6,TGFOT7981F,horakritika@kapur-verma.com,05485902064,Ishwar Ganguly,"H.No. 336, Ranganathan Zila",Suite 12,Bengaluru,Karnataka,India,931709,8,State Bank of India,323235615039,STAT0951642,Blocked,2023-02-21,2026-05-24
29,SUP00029,Swaminathan Group,Service Provider,35SPBGU8627G3Z2,TTPQB9841G,deolvasudha@sani.com,+919523498142,Ishanvi Randhawa,"94/887, Mody Marg",Floor 13,Kolkata,West Bengal,India,630247,7,Punjab National Bank,88513925276,PUNJ0256573,Active,2017-06-14,2018-09-09
30,SUP00030,"Sharaf, Brahmbhatt and Mannan",Equipment Vendor,27SQWNF8714S4ZH,XNILN7796H,leena81@bansal.info,06150258602,Idika Dash,"12
Bhasin Path",Floor 20,Mysuru,Karnataka,India,222797,5,State Bank of India,40109897450,STAT0267981,Active,2020-12-20,2022-06-16
31,SUP00031,"Dar, Lad and Sekhon",Equipment Vendor,36EECLV4778Z9Z6,ICAGF3937M,maanasbansal@borde-saraf.com,05413539875,Veda Mander,"H.No. 26, Sani Street",Floor 19,Nagpur,Maharashtra,India,048436,2,Punjab National Bank,5813830936039452,PUNJ0385245,Active,2023-07-18,2025-02-25
32,SUP00032,"Rajagopalan, Zacharia and Sarma",Equipment Vendor,10FEBSH2697Q3Z7,GYNCN1348H,virajchadha@seshadri-peri.info,+919491433113,Geetika Barman,"H.No. 858
Trivedi Circle",Unit 16,Lucknow,Uttar Pradesh,India,349705,4,State Bank of India,758953521740,STAT0511902,Active,2022-03-25,2022-07-27
33,SUP00033,"Shah, Deep and Sarkar",Contractor,27FQHFI1190U1ZZ,RFNLX1055U,kotayutika@sidhu.com,03232245296,Ayushman Das,"91, Chokshi Chowk",Floor 3,Mumbai,Maharashtra,India,257389,10,State Bank of India,30082022505655,STAT0353292,Active,2025-01-11,2025-10-30
34,SUP00034,"Swaminathan, Gola and Dar",Raw Material Supplier,15RHJHT3868Q1ZS,WXKZS8374Z,balveer90@anand-wagle.com,+912444598238,Eesha Ramakrishnan,"H.No. 09, Sibal Marg",Unit 12,Ahmedabad,Gujarat,India,198415,7,Axis Bank,28745378919214,AXIS0778257,Active,2021-05-11,2022-08-31
35,SUP00035,Banik-Varma,Raw Material Supplier,25GJWZG5694D9ZG,NGWAL9405U,tsibal@ratti-kant.com,+913002107794,Omaja Ravel,"22/919
Walia Ganj",,New Delhi,Delhi,India,937533,3,State Bank of India,02419462107888,STAT0338409,Active,2016-12-17,2026-02-10
36,SUP00036,"Chada, Bandi and Bora",Contractor,35ASKXK8737T8ZR,LENNL9195D,vkapoor@ramanathan-bahl.com,08622817693,Matthew Chauhan,"71, Taneja Zila",Suite 17,New Delhi,Delhi,India,704213,8,ICICI Bank,8515513562852595,ICIC0610237,Active,2016-07-07,2024-03-11
37,SUP00037,"Divan, Chaudhry and Verma",Contractor,33LBQDW1650D7ZO,KECGV1718Y,chavvi87@khare.com,6479778399,Hamsini Luthra,"H.No. 98
Barman Chowk",Unit 50,New Delhi,Delhi,India,395815,7,Punjab National Bank,681062241220,PUNJ0955212,Blocked,2024-03-07,2025-04-25
38,SUP00038,Dugar-Ravel,Service Provider,16RZQIV0809Y8ZP,MRKTN4892I,zinal81@ramachandran.com,07599021260,Quincy Chacko,"H.No. 96
Sachdeva",Floor 10,Lucknow,Uttar Pradesh,India,701484,7,Punjab National Bank,10832990864993,PUNJ0442363,Blocked,2016-02-17,2017-04-24
39,SUP00039,Rao and Sons,Service Provider,30YNVXY1416S9ZO,TLXTN5822P,hemal13@goswami.com,+917951144512,Noah Bhatnagar,"25
Devi Nagar",,Jaipur,Rajasthan,India,070281,9,ICICI Bank,73085669357,ICIC0820246,Inactive,2017-06-29,2021-01-23
40,SUP00040,Borah-Bhandari,Raw Material Supplier,35JUXOO6034B4ZR,DSOCY6782G,gkara@soman.biz,9358640018,Charles Sarkar,"82
Dubey Marg",Suite 2,Mumbai,Maharashtra,India,728725,4,HDFC Bank,878178690493,HDFC0461871,Active,2016-09-26,2020-12-08
41,SUP00041,"Shroff, Murty and Dash",Logistics Provider,03JGXSU9930X0ZY,FYVDL4711C,unnisachdeva@choudhary.com,01952084611,Krish Padmanabhan,"519, Dutta Zila",,Kolkata,West Bengal,India,092015,6,Kotak Mahindra Bank,49977049118,KOTA0786317,Active,2021-08-10,2023-03-27
42,SUP00042,"Oza, Dara and Samra",Equipment Vendor,23XONPT3620C7ZL,IXHFU4839Q,vvarma@bail-hayre.com,0312256372,Yagnesh Rana,"H.No. 65
Ravi Street",,Hyderabad,Telangana,India,591557,5,HDFC Bank,58178785960677,HDFC0969467,Active,2019-08-13,2026-05-30
43,SUP00043,"Sami, Seth and Om",Goods Supplier,01RFAUQ0600R7Z4,WAYEO2206R,timothyyohannan@halder.com,+917733371991,Samar Sengupta,"366, Oza Ganj",Floor 6,Ludhiana,Punjab,India,038156,9,State Bank of India,7853734107656922,STAT0602286,Active,2023-10-25,2026-03-19
44,SUP00044,Maharaj-Iyer,Logistics Provider,02RFDRV9970Z7Z1,AQFXP9934S,manthan97@choudhury.net,02786108938,Nakul Srivastava,"41/85
Sani Ganj",Unit 79,Chennai,Tamil Nadu,India,394407,10,Axis Bank,3949835889681403,AXIS0599780,Active,2018-02-03,2025-02-22
45,SUP00045,Bhasin-Ganesh,Goods Supplier,03NOPGA4242G9ZY,FPREZ5625U,chadasudiksha@bal.com,04058822217,Mohini Tella,"H.No. 120
Kohli Road",,Surat,Gujarat,India,395745,3,IndusInd Bank,04712328816,INDU0680007,Active,2019-06-04,2023-12-06
46,SUP00046,Puri Ltd,Goods Supplier,30MGVUA6855F6ZR,SZOPI4342K,devikachahal@varty.com,+915934917540,Dayita Ray,"64/24
Mani Circle",,Mumbai,Maharashtra,India,128823,3,Punjab National Bank,392384673208,PUNJ0701374,Active,2018-05-13,2025-05-16
47,SUP00047,Goyal-Badal,Service Provider,07IBQUU8747L5ZF,BRBPT0653Z,sibalbhavika@kanda.net,+918438311852,Netra Roy,"291, Kapoor Chowk",Suite 21,Kolkata,West Bengal,India,696258,7,Punjab National Bank,20027905446004,PUNJ0264584,Active,2021-06-06,2022-11-09
48,SUP00048,Patel Inc,Service Provider,16BEJXM3245T8ZH,LABSN4262F,parthsastry@bains-mani.biz,5005927963,Shravya Luthra,"552
Sodhi Street",Floor 19,Lucknow,Uttar Pradesh,India,616163,7,Yes Bank,4322238591998803,YES 0286222,Active,2018-06-25,2025-08-12
49,SUP00049,"Setty, Chaudhry and Amble",Raw Material Supplier,14NOWUU3780X7ZG,KQVXU9856R,faqid41@pandit-narang.com,0014411743,Yahvi Bawa,"99/33, Mangal Marg",Unit 10,New Delhi,Delhi,India,037532,7,Yes Bank,018607636016,YES 0815136,Active,2025-07-31,2025-09-16
50,SUP00050,Pau-Manda,Goods Supplier,19DHSMU2594O4ZO,UWQQP0698E,wadhwajanya@mahal-ganesan.net,+914660721547,Gautam Ram,"54/78
Pradhan Marg",Suite 10,Kolkata,West Bengal,India,081931,7,IndusInd Bank,98100386044165,INDU0193709,Active,2017-06-12,2018-04-26
51,SUP00051,Subramanian-Basu,Goods Supplier,27AWQFU8016Y4ZO,MIJVO6996B,kaulwarinder@dutt-chada.com,03549048792,Mohini Dalal,"24/71, Sankar Nagar",,Coimbatore,Tamil Nadu,India,060789,9,Punjab National Bank,52314510667,PUNJ0588659,Inactive,2024-07-01,2025-12-07
52,SUP00052,"Raj, Bobal and Dugar",Equipment Vendor,19IDFCD1507D5ZS,JGBCB2334L,falan14@reddy.org,+914217017434,Utkarsh Bose,"H.No. 798, Babu Nagar",Floor 15,Jaipur,Rajasthan,India,463551,8,Axis Bank,828921762949,AXIS0624313,Active,2022-08-13,2023-05-20
53,SUP00053,"Madan, Sandhu and Dube",Logistics Provider,28THPJP7387M9Z9,FMRCJ7202N,fvenkataraman@arora-garg.org,8214943778,Ekbal Goyal,"18, Balay Chowk",Floor 10,New Delhi,Delhi,India,188349,5,HDFC Bank,3762713281321665,HDFC0506233,Active,2018-06-18,2023-02-26
54,SUP00054,"Johal, Sur and Borra",Goods Supplier,19LZUXW7088J3Z4,GAENW4257K,brijeshnagar@saha.net,+918627518985,Ishaan Tandon,"52, Chaudhuri Ganj",,Chennai,Tamil Nadu,India,372715,9,State Bank of India,2082850991608167,STAT0717231,Active,2019-08-12,2021-08-11
55,SUP00055,Luthra Group,Service Provider,13DJDHW7210J1ZI,OYIIJ3880Q,msachdeva@keer.info,+914372264331,Nidhi Sarraf,"50/339, Buch Path",Unit 52,Jaipur,Rajasthan,India,783752,6,ICICI Bank,49716794247941,ICIC0863507,Active,2016-06-06,2017-08-26
56,SUP00056,Yogi-Shan,Contractor,04OWBPC2063D8ZQ,OPAXB6259T,bobalucchal@rajagopalan-kurian.com,05568842704,Ishita Kannan,"H.No. 77, Narain Path",Floor 8,New Delhi,Delhi,India,185122,9,ICICI Bank,10937401948483,ICIC0159188,Active,2024-01-18,2026-05-05
57,SUP00057,"Shanker, Nagarajan and Wali",Equipment Vendor,19VSSWY4484S0ZW,PHPQL8378Q,veda47@sinha.com,+918993659869,Barkha Tara,"01/89, Chawla Circle",Unit 4,New Delhi,Delhi,India,315789,3,Yes Bank,46068656741,YES 0766818,Active,2017-11-15,2020-11-11
58,SUP00058,"Bhandari, Mittal and Tailor",Goods Supplier,03WCKQJ0427Q2ZH,UXXJP6999B,eiravatibarman@barad-bhatti.com,5318830857,Dayamai Mammen,"385, Nagar Zila",,Pune,Maharashtra,India,130123,1,State Bank of India,123760359488,STAT0893446,Active,2022-06-19,2025-01-04
59,SUP00059,"Kota, Karan and Gulati",Logistics Provider,32JOTRP9809C0ZW,HEDWW2250V,labanborah@singh.info,+912451456844,Ikshita Oza,"08, Dhar Zila",,Chennai,Tamil Nadu,India,070639,6,IndusInd Bank,9306412193957728,INDU0970611,Active,2018-06-30,2022-01-07
60,SUP00060,Seth Group,Raw Material Supplier,20LQPUN3232R0ZQ,FHXTW4344R,zgoswami@dhillon-chopra.info,+918715173980,Mohini Garde,"84, Salvi Path",Floor 14,Amritsar,Punjab,India,595188,1,IndusInd Bank,34123908981127,INDU0862987,Active,2020-09-19,2021-04-06
61,SUP00061,Wagle-Dhar,Logistics Provider,37CWBYU7963N2ZZ,OZFNQ7286X,rudra41@brahmbhatt.com,06243672668,Lekha Bhatia,"59/20
Som Zila",Floor 16,New Delhi,Delhi,India,882991,1,Kotak Mahindra Bank,93328837952,KOTA0387820,Active,2018-09-01,2024-03-25
62,SUP00062,Patel-Kakar,Logistics Provider,27GLCHD4657A6ZT,QPSUV4748O,deyanthony@kala.com,+910599001877,Oeshi Ahluwalia,"H.No. 854, Keer Ganj",,Kolkata,West Bengal,India,118527,6,State Bank of India,73685500355,STAT0183937,Under Review,2021-05-26,2025-04-25
63,SUP00063,"Vora, Mitra and Vora",Goods Supplier,04YAFBU2335P9Z8,DBRLM1299K,ubahl@arora.org,02902985734,Gauri Srinivas,"H.No. 20
Grover Ganj",Floor 14,Bengaluru,Karnataka,India,372639,3,State Bank of India,27175618249904,STAT0670148,Active,2025-03-03,2025-09-09
64,SUP00064,Bedi-Chad,Logistics Provider,32MOZNL7021Q1ZB,WVRTA4123J,bsarkar@bajwa.net,4617911969,Lipika Sachdev,"62
Seth Circle",,Noida,Uttar Pradesh,India,680674,9,Kotak Mahindra Bank,4487306851569394,KOTA0645339,Active,2024-06-25,2024-10-06
65,SUP00065,Mangal LLC,Equipment Vendor,01EDOHM6220B5ZA,QUZSI7086V,dmody@baria.org,+914097847530,Kritika Hora,"12/690, Tandon Ganj",,Noida,Uttar Pradesh,India,312105,6,Kotak Mahindra Bank,308654436875,KOTA0935231,Blocked,2019-05-21,2022-01-21
66,SUP00066,Ravel-Ghosh,Service Provider,29DNAUW9217R0ZH,JAEVL7716O,mandergautami@kant.com,8006075317,Samarth Krishnamurthy,"H.No. 087
Kota Circle",Floor 8,Ahmedabad,Gujarat,India,647879,10,Kotak Mahindra Bank,4030539851578207,KOTA0415927,Active,2016-07-31,2020-06-25
67,SUP00067,Kapoor-Saran,Logistics Provider,35MHBIC6279D1ZR,UHHUW6800Q,edhithatandon@nagy-krishnamurthy.com,1235843522,Yashodhara Ram,"066
Sachar",Floor 18,Surat,Gujarat,India,919957,7,State Bank of India,8380399122849814,STAT0300891,Active,2021-12-03,2023-06-20
68,SUP00068,Chaudhuri LLC,Contractor,27DZDWR7416B9ZR,RSGBZ5782B,bhallahemani@pradhan.biz,05910900893,Balendra Minhas,"H.No. 85
Handa Chowk",Unit 89,Amritsar,Punjab,India,653030,8,Punjab National Bank,31582278510,PUNJ0685985,Active,2019-02-06,2025-09-26
69,SUP00069,Malhotra-Shere,Raw Material Supplier,13JYDRU9115Z1ZK,SLWMQ0611H,ethan29@sur-wali.info,0807727473,Timothy Dube,"H.No. 316, Srivastava Ganj",Suite 12,Surat,Gujarat,India,503783,1,Axis Bank,97357103239,AXIS0858791,Active,2021-03-04,2023-08-28
70,SUP00070,"Varma, Dasgupta and Sastry",Contractor,20CQIHT7079T7ZT,BDZAE6770U,barmanpavani@nagar-sethi.com,+912975696665,Aarna Magar,"756, Menon",Unit 85,Chennai,Tamil Nadu,India,500045,3,Kotak Mahindra Bank,38795564641,KOTA0497160,Blocked,2024-04-27,2024-12-18
71,SUP00071,"Goel, Tata and Kapur",Contractor,26KVGSO7393X3ZN,NXPMM6328E,rsabharwal@yadav.net,05539919716,Yashvi Yogi,"62, Chacko Nagar",Suite 45,Amritsar,Punjab,India,337099,5,ICICI Bank,0701058652656435,ICIC0606390,Active,2021-10-07,2023-11-30
72,SUP00072,Gade-Chander,Service Provider,32BZYMT4264V4Z5,QSPXE8365C,loganbala@palla.org,+917214264807,Rudra Mann,"26/47, Kashyap Road",Unit 27,Mumbai,Maharashtra,India,095722,7,IndusInd Bank,39201965960427,INDU0362089,Active,2016-04-16,2024-04-06
73,SUP00073,"Das, Sundaram and Kohli",Goods Supplier,17CWPLZ0203P3ZW,CXNVG8056Y,pmann@dua.com,05949309767,Wyatt Jha,"H.No. 712, Narayanan Chowk",Floor 13,Bengaluru,Karnataka,India,602437,3,HDFC Bank,33480838800456,HDFC0464271,Active,2020-01-30,2021-04-04
74,SUP00074,Bhagat-Goswami,Equipment Vendor,32ZIBOX0048W5ZZ,FXLPO9102X,latathomas@shanker-natt.biz,09401057108,Barkha Vig,"H.No. 26
Trivedi Nagar",,Coimbatore,Tamil Nadu,India,206027,5,Punjab National Bank,71518498227320,PUNJ0987898,Active,2020-04-01,2023-02-02
75,SUP00075,Vala PLC,Raw Material Supplier,05JEAFW1480R3ZG,UPKFC9336P,teerth98@merchant.com,+914120289015,Jagrati Issac,"H.No. 10
Bhalla Zila",,Lucknow,Uttar Pradesh,India,356975,6,Axis Bank,458428458291,AXIS0974671,Active,2024-01-18,2026-01-13
76,SUP00076,"Sidhu, Sha and Parmer",Service Provider,06OKKWX0053E6ZO,TIUDW6575L,jdhar@sarraf-tank.com,+912723347089,Timothy Sathe,"649, Prakash Path",Floor 7,Jaipur,Rajasthan,India,266983,5,Kotak Mahindra Bank,7520507138074741,KOTA0647256,Active,2017-01-21,2020-06-17
77,SUP00077,"Sur, Choudhry and Pradhan",Raw Material Supplier,20BMEZX4429A0ZG,ZMXAG8285P,warjaskale@arora.com,6048844669,Ridhi Chawla,"352
Shah Zila",,Nagpur,Maharashtra,India,433599,8,Punjab National Bank,57774946658061,PUNJ0794936,Active,2020-02-22,2025-01-27
78,SUP00078,"Ram, Sanghvi and Gera",Service Provider,23OIDAW2428H6ZX,XSLCS6500D,ldass@gara.com,06196619843,Aarini Pandya,"381, Khare Chowk",Suite 15,Kolkata,West Bengal,India,940583,7,Punjab National Bank,0709305860735464,PUNJ0383869,Active,2019-09-17,2023-03-17
79,SUP00079,"Bahri, Tella and Srivastava",Equipment Vendor,01KBEEP1231L1ZD,TMBHP3092E,harishmandal@agate.com,0062097928,Dhruv Barad,"156, Dave Zila",Unit 22,Chennai,Tamil Nadu,India,240171,4,Kotak Mahindra Bank,898807833175,KOTA0570080,Inactive,2024-06-15,2025-03-10
80,SUP00080,Mukhopadhyay Ltd,Logistics Provider,14ZFWXU2678Z2Z1,XMTAI9078U,deyeta@oza-bhalla.biz,+915081854665,Vedika Narayanan,"H.No. 395
Purohit Nagar",Unit 93,Chennai,Tamil Nadu,India,386478,2,Punjab National Bank,64183328077330,PUNJ0600158,Inactive,2024-08-23,2025-12-22
81,SUP00081,Dhillon-Dey,Raw Material Supplier,10ADIRZ9595H1Z7,KXIAC6548X,ria13@oak.com,7909213512,Jason Kunda,"11/94, Randhawa Ganj",,Bengaluru,Karnataka,India,195388,2,Punjab National Bank,83709076964,PUNJ0166959,Inactive,2019-11-25,2026-04-17
82,SUP00082,Varty-Warrior,Raw Material Supplier,05BGPYB1471N5ZG,HNMJN0382E,raghav11@parikh.biz,7103274868,Hemal Taneja,"H.No. 35, Roy Circle",Unit 96,Nagpur,Maharashtra,India,840445,5,ICICI Bank,30275819913,ICIC0739539,Active,2020-03-24,2024-06-22
83,SUP00083,Soni-Sarna,Contractor,31VMCUX7774I2ZX,PTWQU3144J,uamble@nath-mahajan.com,3378574851,Radha Gade,"59, Bains Marg",Suite 39,Pune,Maharashtra,India,689587,5,IndusInd Bank,59829303626,INDU0297457,Active,2019-12-06,2026-01-31
84,SUP00084,"Seth, Bhat and Roy",Raw Material Supplier,07DIUIZ9067G0ZN,UYDXR5860E,isaiahchoudhry@yohannan.com,+919101685073,Advik Verma,"H.No. 157, Mann",Unit 59,Kolkata,West Bengal,India,940080,8,Punjab National Bank,50311489210489,PUNJ0917876,Active,2024-05-02,2024-12-19
85,SUP00085,Khare and Sons,Equipment Vendor,01IEZQT5904R9ZL,KWHVT7712K,bhavikarai@buch-behl.com,08386137237,Waida Parmar,"93/91
Chakraborty Ganj",,Jaipur,Rajasthan,India,105432,7,Kotak Mahindra Bank,268352050937,KOTA0741903,Inactive,2017-11-17,2020-02-06
86,SUP00086,"Dube, Goyal and Bhattacharyya",Equipment Vendor,06RHTOS9490J7ZE,EKRUQ3863O,bhavna18@bahri-bumb.com,+919056260479,Timothy Khanna,"539, Kar Zila",,Kolkata,West Bengal,India,159497,6,Kotak Mahindra Bank,37960353430,KOTA0467378,Active,2024-03-01,2026-03-18
87,SUP00087,Oommen-Mitter,Logistics Provider,08WAGOT4069O7ZS,IUFZS0041O,nloke@naik.com,05648094364,Ekavir Kade,"77
Ratti Nagar",,Bengaluru,Karnataka,India,650855,10,Yes Bank,36344922052,YES 0133316,Under Review,2023-05-09,2023-06-10
88,SUP00088,Sen LLC,Goods Supplier,05FNICU6206V3ZZ,RKCXV7086V,bhavyapau@bora-luthra.com,+913437203914,Gabriel Barman,"616
Gour Marg",,Surat,Gujarat,India,983870,2,HDFC Bank,26647232025997,HDFC0631635,Active,2016-03-02,2018-07-05
